,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,16,15,1.0,113,0.9375,0.1171875,0.20833333333333334
1,KYPROLIS,adverse reactions,exact-meddra,104,16,12,,92,,0.11538461538461539,
2,KYPROLIS,adverse reactions,non-meddra,25,16,3,,22,,0.12,
3,KYPROLIS,adverse reactions,discontinuous,3,16,0,,3,,0.0,
4,KYPROLIS,warnings and precautions,all,65,22,22,0.0,43,1.0,0.3384615384615385,0.5057471264367815
5,KYPROLIS,warnings and precautions,exact-meddra,44,22,18,,26,,0.4090909090909091,
6,KYPROLIS,warnings and precautions,non-meddra,22,22,4,,18,,0.18181818181818182,
7,KYPROLIS,warnings and precautions,discontinuous,1,22,0,,1,,0.0,
8,KYPROLIS,all-concat,all,158,15,14,1.0,144,0.9333333333333333,0.08860759493670886,0.16184971098265896
9,KYPROLIS,all-concat,exact-meddra,119,15,11,,108,,0.09243697478991597,
10,KYPROLIS,all-concat,non-meddra,40,15,3,,37,,0.075,
11,KYPROLIS,all-concat,discontinuous,4,15,0,,4,,0.0,
12,MULTAQ,adverse reactions,all,39,27,27,0.0,12,1.0,0.6923076923076923,0.8181818181818181
13,MULTAQ,adverse reactions,exact-meddra,26,27,24,,2,,0.9230769230769231,
14,MULTAQ,adverse reactions,non-meddra,13,27,3,,10,,0.23076923076923078,
15,MULTAQ,adverse reactions,discontinuous,5,27,0,,5,,0.0,
16,MULTAQ,warnings and precautions,all,25,19,13,6.0,12,0.6842105263157895,0.52,0.5909090909090909
17,MULTAQ,warnings and precautions,exact-meddra,13,19,11,,2,,0.8461538461538461,
18,MULTAQ,warnings and precautions,non-meddra,12,19,2,,10,,0.16666666666666666,
19,MULTAQ,warnings and precautions,discontinuous,3,19,1,,2,,0.3333333333333333,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,32,30,2.0,27,0.9375,0.5263157894736842,0.6741573033707865
23,MULTAQ,all-concat,exact-meddra,32,32,26,,6,,0.8125,
24,MULTAQ,all-concat,non-meddra,25,32,4,,21,,0.16,
25,MULTAQ,all-concat,discontinuous,8,32,0,,8,,0.0,
26,JUBLIA,adverse reactions,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,0,,1.0,
28,JUBLIA,adverse reactions,non-meddra,2,4,1,,1,,0.5,
29,JUBLIA,all-concat,all,5,4,4,0.0,1,1.0,0.8,0.888888888888889
30,JUBLIA,all-concat,exact-meddra,3,4,3,,0,,1.0,
31,JUBLIA,all-concat,non-meddra,2,4,1,,1,,0.5,
32,TEFLARO,adverse reactions,all,30,30,28,2.0,2,0.9333333333333333,0.9333333333333333,0.9333333333333333
33,TEFLARO,adverse reactions,exact-meddra,26,30,25,,1,,0.9615384615384616,
34,TEFLARO,adverse reactions,non-meddra,4,30,3,,1,,0.75,
35,TEFLARO,warnings and precautions,all,12,9,4,5.0,8,0.4444444444444444,0.3333333333333333,0.380952380952381
36,TEFLARO,warnings and precautions,exact-meddra,2,9,0,,2,,0.0,
37,TEFLARO,warnings and precautions,non-meddra,10,9,4,,6,,0.4,
38,TEFLARO,warnings and precautions,negated,1,9,0,,1,,0.0,
39,TEFLARO,warnings and precautions,discontinuous,2,9,2,,0,,1.0,
40,TEFLARO,all-concat,all,38,4,3,1.0,35,0.75,0.07894736842105263,0.14285714285714285
41,TEFLARO,all-concat,exact-meddra,27,4,0,,27,,0.0,
42,TEFLARO,all-concat,non-meddra,11,4,3,,8,,0.2727272727272727,
43,TEFLARO,all-concat,negated,1,4,0,,1,,0.0,
44,TEFLARO,all-concat,discontinuous,2,4,1,,1,,0.5,
45,DATSCAN,adverse reactions,all,11,7,7,0.0,4,1.0,0.6363636363636364,0.7777777777777778
46,DATSCAN,adverse reactions,exact-meddra,8,7,6,,2,,0.75,
47,DATSCAN,adverse reactions,non-meddra,3,7,1,,2,,0.3333333333333333,
48,DATSCAN,warnings and precautions,all,3,3,2,1.0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
49,DATSCAN,warnings and precautions,exact-meddra,1,3,1,,0,,1.0,
50,DATSCAN,warnings and precautions,non-meddra,2,3,1,,1,,0.5,
51,DATSCAN,all-concat,all,12,13,10,3.0,2,0.7692307692307693,0.8333333333333334,0.8
52,DATSCAN,all-concat,exact-meddra,9,13,8,,1,,0.8888888888888888,
53,DATSCAN,all-concat,non-meddra,3,13,2,,1,,0.6666666666666666,
54,TIVICAY,adverse reactions,all,45,36,24,12.0,21,0.6666666666666666,0.5333333333333333,0.5925925925925926
55,TIVICAY,adverse reactions,exact-meddra,30,36,23,,7,,0.7666666666666667,
56,TIVICAY,adverse reactions,non-meddra,15,36,1,,14,,0.06666666666666667,
57,TIVICAY,adverse reactions,discontinuous,8,36,0,,8,,0.0,
58,TIVICAY,warnings and precautions,all,29,8,5,3.0,24,0.625,0.1724137931034483,0.2702702702702703
59,TIVICAY,warnings and precautions,exact-meddra,10,8,3,,7,,0.3,
60,TIVICAY,warnings and precautions,non-meddra,19,8,2,,17,,0.10526315789473684,
61,TIVICAY,warnings and precautions,discontinuous,2,8,0,,2,,0.0,
62,TIVICAY,all-concat,all,71,8,6,2.0,65,0.75,0.08450704225352113,0.1518987341772152
63,TIVICAY,all-concat,exact-meddra,37,8,4,,33,,0.10810810810810811,
64,TIVICAY,all-concat,non-meddra,34,8,2,,32,,0.058823529411764705,
65,TIVICAY,all-concat,discontinuous,10,8,0,,10,,0.0,
66,TAFINLAR,adverse reactions,all,112,11,7,4.0,105,0.6363636363636364,0.0625,0.11382113821138211
67,TAFINLAR,adverse reactions,exact-meddra,94,11,5,,89,,0.05319148936170213,
68,TAFINLAR,adverse reactions,non-meddra,18,11,2,,16,,0.1111111111111111,
69,TAFINLAR,warnings and precautions,all,63,15,10,5.0,53,0.6666666666666666,0.15873015873015872,0.2564102564102564
70,TAFINLAR,warnings and precautions,exact-meddra,28,15,7,,21,,0.25,
71,TAFINLAR,warnings and precautions,non-meddra,35,15,3,,32,,0.08571428571428572,
72,TAFINLAR,warnings and precautions,discontinuous,2,15,0,,2,,0.0,
73,TAFINLAR,all-concat,all,158,10,7,3.0,151,0.7,0.04430379746835443,0.08333333333333333
74,TAFINLAR,all-concat,exact-meddra,110,10,5,,105,,0.045454545454545456,
75,TAFINLAR,all-concat,non-meddra,48,10,2,,46,,0.041666666666666664,
76,TAFINLAR,all-concat,discontinuous,2,10,0,,2,,0.0,
77,HORIZANT,adverse reactions,all,27,27,26,1.0,1,0.9629629629629629,0.9629629629629629,0.9629629629629629
78,HORIZANT,adverse reactions,exact-meddra,26,27,25,,1,,0.9615384615384616,
79,HORIZANT,adverse reactions,non-meddra,1,27,1,,0,,1.0,
80,HORIZANT,warnings and precautions,all,40,4,3,1.0,37,0.75,0.075,0.13636363636363635
81,HORIZANT,warnings and precautions,exact-meddra,17,4,3,,14,,0.17647058823529413,
82,HORIZANT,warnings and precautions,non-meddra,23,4,0,,23,,0.0,
83,HORIZANT,warnings and precautions,negated,2,4,0,,2,,0.0,
84,HORIZANT,warnings and precautions,discontinuous,12,4,0,,12,,0.0,
85,HORIZANT,all-concat,all,62,25,24,1.0,38,0.96,0.3870967741935484,0.5517241379310344
86,HORIZANT,all-concat,exact-meddra,38,25,23,,15,,0.6052631578947368,
87,HORIZANT,all-concat,non-meddra,24,25,1,,23,,0.041666666666666664,
88,HORIZANT,all-concat,negated,2,25,0,,2,,0.0,
89,HORIZANT,all-concat,discontinuous,12,25,0,,12,,0.0,
90,IMBRUVICA,adverse reactions,all,70,35,30,5.0,40,0.8571428571428571,0.42857142857142855,0.5714285714285714
91,IMBRUVICA,adverse reactions,exact-meddra,55,35,26,,29,,0.4727272727272727,
92,IMBRUVICA,adverse reactions,non-meddra,15,35,4,,11,,0.26666666666666666,
93,IMBRUVICA,adverse reactions,discontinuous,2,35,0,,2,,0.0,
94,IMBRUVICA,warnings and precautions,all,32,16,14,2.0,18,0.875,0.4375,0.5833333333333334
